x,y,z
5.999999999999999778e-01,0.000000000000000000e+00,5.000000000000000000e-01
5.999972882855175715e-01,6.372831059682256124e-04,5.000000000000000000e-01
5.999748779321687486e-01,1.985437789436311079e-03,5.000000000000000000e-01
5.999327364760862480e-01,3.362495622077745720e-03,5.000000000000000000e-01
5.998735361769313990e-01,4.775767426191783460e-03,5.000000000000000000e-01
5.997995069344495001e-01,6.226312145633111812e-03,5.000000000000000000e-01
5.997124361305870011e-01,7.715153224689207979e-03,5.000000000000000000e-01
5.996138014159144713e-01,9.242356725938189951e-03,5.000000000000000000e-01
5.995049518069004435e-01,1.080607636971256391e-02,5.000000000000000000e-01
5.993869013145392000e-01,1.240538273076196435e-02,5.000000000000000000e-01
5.992603623048344819e-01,1.403991462422373923e-02,5.000000000000000000e-01
5.991259612651924638e-01,1.570835754225483050e-02,5.000000000000000000e-01
5.989841931386330476e-01,1.740916291205716476e-02,5.000000000000000000e-01
5.988355498327928572e-01,1.913988439341508807e-02,5.000000000000000000e-01
5.986803652377605811e-01,2.089840560479815090e-02,5.000000000000000000e-01
5.985186250885785597e-01,2.268413359116077874e-02,5.000000000000000000e-01
5.983504835782005316e-01,2.449508652444297441e-02,5.000000000000000000e-01
5.981762350731114619e-01,2.632823767348288491e-02,5.000000000000000000e-01
5.979958545594328267e-01,2.818197645681945473e-02,5.000000000000000000e-01
5.978093871806161586e-01,3.005421136981401703e-02,5.000000000000000000e-01
5.976170840598531431e-01,3.194180541899210163e-02,5.000000000000000000e-01
5.974192517000289637e-01,3.384129942059071333e-02,5.000000000000000000e-01
5.972161911385226452e-01,3.574923820753978659e-02,5.000000000000000000e-01
5.970077224519134695e-01,3.766423325785527021e-02,5.000000000000000000e-01
5.967936370112816302e-01,3.958516148494909542e-02,5.000000000000000000e-01
5.965740939387524922e-01,4.150960582431783424e-02,5.000000000000000000e-01
5.963493603301335266e-01,4.343480985012452417e-02,5.000000000000000000e-01
5.961197615952394946e-01,4.535787213770559739e-02,5.000000000000000000e-01
5.958854552148031836e-01,4.727659112957650206e-02,5.000000000000000000e-01
5.956464547858398850e-01,4.918942422178437107e-02,5.000000000000000000e-01
5.954030836813700711e-01,5.109392941752734923e-02,5.000000000000000000e-01
5.951557458394989286e-01,5.298749998958395685e-02,5.000000000000000000e-01
5.949045134580278615e-01,5.486872594124415914e-02,5.000000000000000000e-01
5.946497375396486706e-01,5.673547582542808748e-02,5.000000000000000000e-01
5.943918940828123443e-01,5.858533576873405785e-02,5.000000000000000000e-01
5.941312792501194373e-01,6.041653203117048482e-02,5.000000000000000000e-01
5.938682566003572472e-01,6.222722646050950213e-02,5.000000000000000000e-01
5.936029986220985322e-01,6.401628032936348967e-02,5.000000000000000000e-01
5.933357827361001036e-01,6.578241054397630794e-02,5.000000000000000000e-01
5.930670405461633266e-01,6.752402122038819732e-02,5.000000000000000000e-01
5.927971884892500043e-01,6.923963514790397455e-02,5.000000000000000000e-01
5.925264672599718230e-01,7.092836259414768418e-02,5.000000000000000000e-01
5.922550440959002405e-01,7.258964178975413351e-02,5.000000000000000000e-01
5.919834614970365116e-01,7.422202959035226200e-02,5.000000000000000000e-01
5.917121965490437230e-01,7.582427922066330150e-02,5.000000000000000000e-01
5.914416209186639239e-01,7.739546494554996880e-02,5.000000000000000000e-01
5.911718324598782548e-01,7.893545361079525036e-02,5.000000000000000000e-01
5.909029518574918649e-01,8.044418968534337855e-02,5.000000000000000000e-01
5.906354897958472350e-01,8.192074106568479619e-02,5.000000000000000000e-01
5.903696915369738285e-01,8.336483789892262797e-02,5.000000000000000000e-01
5.901060782759223189e-01,8.477557745685235235e-02,5.000000000000000000e-01
5.898454410567102180e-01,8.615138031946079078e-02,5.000000000000000000e-01
5.895880774605208874e-01,8.749176754386410459e-02,5.000000000000000000e-01
5.893339126297475472e-01,8.879722057789542211e-02,5.000000000000000000e-01
5.890826245468450129e-01,9.006896257992627608e-02,5.000000000000000000e-01
5.888343853427759900e-01,9.130724971536577361e-02,5.000000000000000000e-01
5.885896361903403262e-01,9.251174016221569429e-02,5.000000000000000000e-01
5.883485448335066259e-01,9.368266639845396204e-02,5.000000000000000000e-01
5.881110716898818591e-01,9.482075852788282577e-02,5.000000000000000000e-01
5.878773378869253108e-01,9.592645178741122935e-02,5.000000000000000000e-01
5.876475968788061888e-01,9.699989691817716142e-02,5.000000000000000000e-01
5.874216638434046622e-01,9.804219440485018033e-02,5.000000000000000000e-01
5.871993046638537272e-01,9.905463897084663960e-02,5.000000000000000000e-01
5.869807926839328838e-01,1.000374940139685531e-01,5.000000000000000000e-01
5.867661796032230814e-01,1.009914345513101136e-01,5.000000000000000000e-01
5.865554521599255500e-01,1.019172578061219026e-01,5.000000000000000000e-01
5.863485430378455598e-01,1.028158887497423041e-01,5.000000000000000000e-01
5.861453796116415926e-01,1.036882658506184940e-01,5.000000000000000000e-01
5.859459042641343984e-01,1.045353112417793939e-01,5.000000000000000000e-01
5.857495026865651155e-01,1.053591149111284542e-01,5.000000000000000000e-01
5.855562964728231456e-01,1.061603623556685860e-01,5.000000000000000000e-01
5.853669968330970086e-01,1.069384234148010315e-01,5.000000000000000000e-01
5.851815716207220408e-01,1.076939603004022916e-01,5.000000000000000000e-01
5.849992909979434552e-01,1.084290627407651642e-01,5.000000000000000000e-01
5.848199736477678323e-01,1.091448743664690663e-01,5.000000000000000000e-01
5.846438003142911954e-01,1.098418073677278478e-01,5.000000000000000000e-01
5.844703529579391432e-01,1.105213806582033415e-01,5.000000000000000000e-01
5.842993218057590532e-01,1.111849627404696006e-01,5.000000000000000000e-01
5.841307053633040258e-01,1.118333322066139557e-01,5.000000000000000000e-01
5.839642427767841593e-01,1.124677188876094525e-01,5.000000000000000000e-01
5.837998629550860130e-01,1.130889775632372418e-01,5.000000000000000000e-01
5.836379874992621009e-01,1.136969343730767495e-01,5.000000000000000000e-01
5.834784019157518431e-01,1.142924878958164747e-01,5.000000000000000000e-01
5.833204953572170837e-01,1.148773239074439428e-01,5.000000000000000000e-01
5.831640192072675699e-01,1.154525484553132059e-01,5.000000000000000000e-01
5.830086411930346380e-01,1.160194334829438151e-01,5.000000000000000000e-01
5.828541054776092967e-01,1.165791233976206237e-01,5.000000000000000000e-01
5.827005118060798461e-01,1.171320658037841023e-01,5.000000000000000000e-01
5.825479588832511713e-01,1.176786001967840001e-01,5.000000000000000000e-01
5.823962209817183933e-01,1.182195876084700253e-01,5.000000000000000000e-01
5.822451088089396487e-01,1.187558224147121089e-01,5.000000000000000000e-01
5.820948474262901406e-01,1.192872968623103352e-01,5.000000000000000000e-01
5.819452286467671209e-01,1.198147060871377206e-01,5.000000000000000000e-01
5.817957519524636911e-01,1.203393011422582426e-01,5.000000000000000000e-01
5.816464073561137260e-01,1.208615075710327974e-01,5.000000000000000000e-01
5.814970996817068194e-01,1.213818479797023342e-01,5.000000000000000000e-01
5.813479555720104663e-01,1.219003948075089994e-01,5.000000000000000000e-01
5.811989132221582199e-01,1.224174856135965550e-01,5.000000000000000000e-01
5.810496149664978738e-01,1.229339778719980431e-01,5.000000000000000000e-01
5.809002145844230913e-01,1.234498414345951561e-01,5.000000000000000000e-01
5.807509350977611007e-01,1.239648261153980524e-01,5.000000000000000000e-01
5.806014327329360736e-01,1.244796244661067752e-01,5.000000000000000000e-01
5.804513101516777240e-01,1.249951013147027612e-01,5.000000000000000000e-01
5.803004676802130390e-01,1.255116612996048930e-01,5.000000000000000000e-01
5.801487136147795987e-01,1.260298626114439435e-01,5.000000000000000000e-01
5.799959195260225853e-01,1.265501577850743076e-01,5.000000000000000000e-01
5.798418252085846269e-01,1.270732358730736755e-01,5.000000000000000000e-01
5.796862926965913321e-01,1.275995873673750891e-01,5.000000000000000000e-01
5.795294901826248957e-01,1.281291448593469273e-01,5.000000000000000000e-01
5.793713807207818700e-01,1.286621062014259298e-01,5.000000000000000000e-01
5.792118031589583715e-01,1.291988677436286537e-01,5.000000000000000000e-01
5.790504358000572172e-01,1.297401259735205814e-01,5.000000000000000000e-01
5.788871026941783127e-01,1.302863758249679649e-01,5.000000000000000000e-01
5.787218964731219994e-01,1.308376397529758262e-01,5.000000000000000000e-01
5.785548023137461193e-01,1.313940594497941261e-01,5.000000000000000000e-01
5.783855522247710601e-01,1.319561900372309138e-01,5.000000000000000000e-01
5.782140025358276647e-01,1.325244139167225665e-01,5.000000000000000000e-01
5.780400848756794829e-01,1.330989847631293688e-01,5.000000000000000000e-01
5.778637102002415205e-01,1.336801713768068223e-01,5.000000000000000000e-01
5.776850938509718869e-01,1.342676924478779510e-01,5.000000000000000000e-01
5.775044994644958907e-01,1.348610835912391337e-01,5.000000000000000000e-01
5.773218692349518788e-01,1.354603361474090994e-01,5.000000000000000000e-01
5.771369542106687955e-01,1.360657871767530225e-01,5.000000000000000000e-01
